--time 1
--epoch 500
total images: 8189
epoch: 67, gen loss: 1.7055270671844482, disc loss: 1.2314941883087158, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 67, gen loss: 2.6660358905792236, disc loss: 1.2985659837722778, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 68, gen loss: 2.6635799407958984, disc loss: 1.119503378868103, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 68, gen loss: 2.509387731552124, disc loss: 1.2270671129226685, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 69, gen loss: 3.4124045372009277, disc loss: 1.3409916162490845, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 69, gen loss: 2.561525821685791, disc loss: 1.2332857847213745, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 70, gen loss: 2.0756635665893555, disc loss: 1.35635507106781, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 70, gen loss: 2.6922075748443604, disc loss: 1.290969729423523, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 71, gen loss: 1.689430832862854, disc loss: 1.3253757953643799, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 71, gen loss: 2.1808409690856934, disc loss: 1.3288310766220093, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 72, gen loss: 3.711249351501465, disc loss: 1.400020956993103, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 72, gen loss: 2.7866106033325195, disc loss: 1.1917921304702759, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 73, gen loss: 1.965424656867981, disc loss: 1.1659603118896484, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 73, gen loss: 2.615356206893921, disc loss: 1.2144502401351929, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 74, gen loss: 0.8437479734420776, disc loss: 1.4545499086380005, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 74, gen loss: 2.8632616996765137, disc loss: 1.1969270706176758, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 75, gen loss: 3.2184958457946777, disc loss: 1.175095796585083, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 75, gen loss: 2.6203277111053467, disc loss: 1.18999183177948, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 76, gen loss: 2.1297760009765625, disc loss: 1.1868987083435059, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 76, gen loss: 2.744664192199707, disc loss: 1.2086786031723022, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 77, gen loss: 3.5796616077423096, disc loss: 1.1716537475585938, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 77, gen loss: 2.6432807445526123, disc loss: 1.2159171104431152, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 78, gen loss: 2.8358867168426514, disc loss: 0.9003636837005615, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 78, gen loss: 2.434354066848755, disc loss: 1.2730878591537476, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 79, gen loss: 2.0878214836120605, disc loss: 1.2307432889938354, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 79, gen loss: 2.6966187953948975, disc loss: 1.2161766290664673, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 80, gen loss: 1.9130768775939941, disc loss: 1.158920168876648, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 80, gen loss: 2.5422630310058594, disc loss: 1.2133101224899292, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 81, gen loss: 2.0197408199310303, disc loss: 1.335554838180542, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 81, gen loss: 2.470536708831787, disc loss: 1.2507493495941162, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 82, gen loss: 2.925161838531494, disc loss: 1.3277716636657715, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 82, gen loss: 2.4972898960113525, disc loss: 1.2344669103622437, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 83, gen loss: 2.173332691192627, disc loss: 0.8905221223831177, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 83, gen loss: 2.8175113201141357, disc loss: 1.2034813165664673, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 84, gen loss: 2.14406681060791, disc loss: 1.2872636318206787, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 84, gen loss: 2.4444050788879395, disc loss: 1.2238469123840332, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 85, gen loss: 2.402451753616333, disc loss: 1.3148599863052368, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 85, gen loss: 2.367440700531006, disc loss: 1.2701854705810547, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 86, gen loss: 1.855858325958252, disc loss: 1.1813576221466064, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 86, gen loss: 2.5989482402801514, disc loss: 1.220237374305725, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 87, gen loss: 2.8337903022766113, disc loss: 1.1725873947143555, grad penalty: 0, real loss: 0, fake loss: 0
